iter	Accuracy	Logloss
0	0.7150801489	0.6734720556
1	0.7150801489	0.6576953177
2	0.7150801489	0.6447939344
3	0.7158854365	0.6342882603
4	0.7158854365	0.6258768648
5	0.7150801489	0.619318055
6	0.7158854365	0.613740746
7	0.7158854365	0.609130715
8	0.7158854365	0.6055357354
9	0.7158854365	0.6026070722
10	0.7158854365	0.6003513068
11	0.7158854365	0.5985816225
12	0.7158854365	0.5970736636
13	0.7158854365	0.5959196643
14	0.7158854365	0.5948860692
15	0.7158854365	0.5941240517
16	0.7158854365	0.5935039617
17	0.7158854365	0.5930177075
18	0.7158854365	0.5926238767
19	0.7158854365	0.592256596
20	0.7158854365	0.5919619881
21	0.7158854365	0.5916643913
22	0.7158854365	0.5914873923
23	0.7158854365	0.5913317044
24	0.7158854365	0.5911372564
25	0.7158854365	0.5910408496
26	0.7158854365	0.5909102003
27	0.7158854365	0.5908042979
28	0.7158854365	0.5906989834
29	0.7158854365	0.5906213926
30	0.7158854365	0.5905572694
31	0.7158854365	0.5905245359
32	0.7158854365	0.5904850761
33	0.7158854365	0.5904650314
34	0.7158854365	0.5904347012
35	0.7158854365	0.5904220381
36	0.7158854365	0.5904089074
37	0.7158854365	0.5903863062
38	0.7158854365	0.5903699265
39	0.7158854365	0.5903506454
40	0.7158854365	0.59033944
41	0.7158854365	0.5903338855
42	0.7158854365	0.5903215872
43	0.7158854365	0.5903134585
44	0.7158854365	0.5903054777
45	0.7158854365	0.5903044434
46	0.7158854365	0.590301721
47	0.7158854365	0.5902988321
48	0.7158854365	0.5902951072
49	0.7158854365	0.5902916389
50	0.7158854365	0.5902894078
51	0.7158854365	0.5902888645
52	0.7158854365	0.5902854744
53	0.7158854365	0.5902854448
54	0.7158854365	0.5902820677
55	0.7158854365	0.5902799212
56	0.7158854365	0.5902796678
57	0.7158854365	0.5902779776
58	0.7158854365	0.5902777965
59	0.7158854365	0.5902770083
60	0.7158854365	0.59027417
61	0.7158854365	0.5902735694
62	0.7158854365	0.5902723527
63	0.7158854365	0.5902715948
64	0.7158854365	0.5902703643
65	0.7158854365	0.5902689845
66	0.7158854365	0.5902679584
67	0.7158854365	0.5902677909
68	0.7158854365	0.5902671884
