iter	Passed	Remaining
0	108	108169
1	149	74676
2	181	60224
3	208	51914
4	239	47725
5	279	46375
6	354	50308
7	416	51585
8	476	52427
9	539	53378
10	575	51767
11	652	53703
12	817	62029
13	896	63104
14	1011	66431
15	1078	66299
16	1125	65091
17	1237	67529
18	1334	68890
19	1448	70954
20	1546	72082
21	1622	72143
22	1718	73019
23	1846	75091
24	1945	75856
25	2025	75889
26	2104	75857
27	2150	74666
28	2212	74080
29	2296	74267
30	2361	73808
31	2412	72985
32	2483	72778
33	2542	72241
34	2603	71773
35	2661	71280
36	2700	70280
37	2973	75282
38	3081	75941
39	3158	75812
40	3227	75481
41	3326	75879
42	3381	75265
43	3434	74617
44	3531	74943
45	3586	74388
46	3667	74367
47	3779	74968
48	3833	74397
49	3859	73332
50	3909	72750
51	3938	71795
52	3975	71028
53	4015	70339
54	4064	69827
55	4112	69322
56	4134	68395
57	4179	67874
58	4213	67198
59	4251	66604
60	4305	66275
61	4339	65659
62	4366	64948
63	4446	65032
64	4520	65031
65	4597	65059
66	4656	64837
67	4695	64355
68	4731	63847
69	4797	63731
70	4827	63161
71	4853	62551
72	4892	62124
73	4973	62231
74	5012	61825
75	5035	61226
76	5071	60789
77	5115	60462
78	5174	60330
79	5222	60061
80	5279	59900
81	5332	59699
82	5391	59563
83	5440	59323
84	5543	59674
85	5654	60090
86	5686	59678
87	5733	59423
88	5745	58810
89	5774	58390
90	5800	57939
91	5821	57450
92	5836	56923
93	5940	57252
94	5967	56845
95	6011	56607
96	6055	56374
97	6079	55958
98	6096	55484
99	6201	55815
100	6262	55742
101	6312	55572
102	6350	55304
103	6425	55359
104	6477	55210
105	6502	54842
106	6556	54716
107	6578	54334
108	6658	54425
109	6695	54169
110	6745	54024
111	6807	53970
112	6870	53926
113	6905	53667
114	6956	53535
115	7035	53612
116	7084	53470
117	7123	53242
118	7163	53034
119	7210	52878
120	7249	52663
121	7280	52396
122	7323	52217
123	7371	52077
124	7404	51830
125	7431	51550
126	7453	51237
127	7468	50877
128	7501	50647
129	7534	50422
130	7560	50152
131	7590	49913
132	7643	49824
133	7671	49576
134	7717	49448
135	7736	49148
136	7761	48891
137	7805	48753
138	7896	48910
139	7945	48808
140	8019	48859
141	8087	48868
142	8118	48651
143	8158	48497
144	8197	48335
145	8242	48211
146	8284	48071
147	8326	47932
148	8387	47905
149	8410	47662
150	8451	47516
151	8502	47433
152	8520	47170
153	8564	47046
154	8594	46852
155	8633	46711
156	8652	46456
157	8695	46337
158	8716	46104
159	8740	45887
160	8768	45692
161	8811	45579
162	8856	45480
163	8881	45273
164	8933	45209
165	8967	45055
166	9031	45050
167	9077	44957
168	9116	44826
169	9168	44764
170	9215	44674
171	9265	44604
172	9315	44532
173	9355	44412
174	9407	44350
175	9472	44348
176	9525	44291
177	9576	44225
178	9659	44302
179	9728	44316
180	9799	44339
181	9855	44296
182	9885	44135
183	9945	44104
184	10005	44076
185	10030	43896
186	10076	43808
187	10113	43681
188	10161	43602
189	10194	43462
190	10257	43445
191	10305	43367
192	10363	43335
193	10403	43221
194	10461	43187
195	10520	43157
196	10563	43059
197	10622	43027
198	10676	42976
199	10705	42821
200	10751	42737
201	10775	42567
202	10810	42442
203	10838	42292
204	10890	42232
205	10913	42065
206	10958	41979
207	10978	41802
208	11037	41771
209	11074	41660
210	11116	41566
211	11156	41468
212	11182	41318
213	11230	41247
214	11260	41115
215	11312	41059
216	11357	40980
217	11372	40796
218	11436	40785
219	11476	40687
220	11526	40628
221	11565	40532
222	11608	40449
223	11644	40340
224	11665	40181
225	11710	40106
226	11740	39978
227	11783	39899
228	11806	39749
229	11867	39728
230	11925	39699
231	11971	39629
232	12015	39552
233	12058	39473
234	12111	39426
235	12151	39338
236	12198	39271
237	12229	39154
238	12280	39100
239	12316	39002
240	12367	38950
241	12392	38816
242	12419	38690
243	12488	38695
244	12506	38539
245	12545	38453
246	12574	38334
247	12620	38268
248	12653	38162
249	12682	38046
250	12727	37980
251	12747	37838
252	12801	37798
253	12848	37735
254	12875	37615
255	12891	37466
256	12946	37428
257	12980	37332
258	13015	37238
259	13068	37194
260	13109	37119
261	13158	37066
262	13215	37032
263	13272	37001
264	13339	36999
265	13389	36947
266	13440	36897
267	13503	36882
268	13551	36825
269	13624	36837
270	13704	36866
271	13756	36818
272	13803	36759
273	13857	36716
274	13942	36756
275	14004	36735
276	14070	36725
277	14129	36695
278	14173	36626
279	14236	36607
280	14293	36571
281	14348	36532
282	14404	36493
283	14464	36466
284	14507	36397
285	14552	36330
286	14611	36299
287	14670	36268
288	14734	36250
289	14773	36169
290	14832	36138
291	14868	36050
292	14931	36030
293	14967	35941
294	15012	35878
295	15062	35824
296	15097	35736
297	15133	35651
298	15160	35544
299	15204	35477
300	15254	35425
301	15302	35368
302	15338	35283
303	15365	35178
304	15418	35134
305	15477	35102
306	15502	34995
307	15552	34942
308	15585	34853
309	15625	34779
310	15652	34677
311	15692	34604
312	15759	34590
313	15828	34579
314	15867	34505
315	15917	34454
316	15950	34366
317	15999	34312
318	16035	34232
319	16068	34144
320	16114	34087
321	16159	34024
322	16210	33976
323	16243	33890
324	16289	33832
325	16327	33756
326	16379	33710
327	16418	33637
328	16449	33548
329	16516	33534
330	16564	33478
331	16627	33455
332	16655	33361
333	16698	33296
334	16722	33195
335	16784	33168
336	16820	33091
337	16862	33026
338	16919	32990
339	16999	32998
340	17030	32912
341	17069	32840
342	17113	32780
343	17173	32749
344	17252	32754
345	17286	32673
346	17318	32591
347	17365	32536
348	17440	32533
349	17507	32513
350	17554	32459
351	17600	32401
352	17667	32382
353	17712	32323
354	17758	32265
355	17797	32195
356	17860	32169
357	17935	32164
358	17971	32087
359	18044	32078
360	18093	32026
361	18138	31967
362	18191	31923
363	18223	31841
364	18284	31810
365	18315	31727
366	18344	31640
367	18369	31547
368	18401	31466
369	18427	31376
370	18458	31294
371	18489	31213
372	18538	31162
373	18566	31076
374	18604	31007
375	18645	30943
376	18686	30880
377	18736	30831
378	18770	30755
379	18836	30732
380	18878	30670
381	18915	30601
382	18955	30536
383	18990	30464
384	19026	30393
385	19042	30289
386	19095	30246
387	19121	30160
388	19173	30116
389	19248	30107
390	19312	30079
391	19334	29988
392	19391	29951
393	19434	29891
394	19449	29790
395	19499	29742
396	19533	29670
397	19570	29600
398	19606	29532
399	19648	29472
400	19706	29437
401	19767	29406
402	19801	29333
403	19843	29274
404	19928	29277
405	19967	29213
406	20036	29193
407	20101	29166
408	20128	29084
409	20164	29017
410	20187	28930
411	20236	28881
412	20259	28794
413	20282	28709
414	20328	28655
415	20393	28628
416	20436	28571
417	20458	28485
418	20504	28432
419	20556	28387
420	20580	28303
421	20625	28250
422	20683	28213
423	20798	28254
424	20855	28216
425	20906	28169
426	20994	28172
427	21043	28123
428	21088	28069
429	21135	28016
430	21172	27952
431	21218	27897
432	21266	27848
433	21313	27796
434	21361	27745
435	21411	27697
436	21477	27670
437	21525	27619
438	21599	27602
439	21646	27550
440	21689	27492
441	21715	27414
442	21792	27400
443	21864	27379
444	21899	27312
445	21919	27227
446	21976	27187
447	22014	27124
448	22070	27084
449	22108	27020
450	22177	26997
451	22254	26981
452	22313	26943
453	22364	26896
454	22403	26835
455	22480	26818
456	22521	26759
457	22559	26697
458	22615	26655
459	22648	26587
460	22689	26528
461	22734	26474
462	22756	26394
463	22817	26358
464	22880	26324
465	22935	26281
466	22971	26218
467	23041	26192
468	23088	26140
469	23108	26058
470	23169	26022
471	23220	25975
472	23261	25917
473	23295	25851
474	23327	25782
475	23350	25705
476	23383	25638
477	23446	25604
478	23509	25570
479	23532	25493
480	23585	25448
481	23644	25410
482	23679	25346
483	23732	25301
484	23786	25257
485	23812	25184
486	23853	25126
487	23892	25067
488	23933	25010
489	23973	24952
490	24017	24897
491	24117	24901
492	24150	24836
493	24186	24774
494	24238	24728
495	24287	24679
496	24325	24619
497	24352	24548
498	24378	24476
499	24413	24413
500	24468	24370
501	24502	24306
502	24549	24256
503	24572	24182
504	24611	24124
505	24655	24070
506	24722	24039
507	24759	23979
508	24809	23932
509	24858	23884
510	24894	23822
511	24935	23766
512	25011	23743
513	25052	23688
514	25108	23646
515	25142	23583
516	25197	23540
517	25238	23484
518	25266	23416
519	25299	23353
520	25353	23309
521	25416	23273
522	25445	23207
523	25494	23159
524	25524	23093
525	25596	23066
526	25637	23010
527	25689	22964
528	25741	22918
529	25785	22866
530	25846	22828
531	25900	22784
532	25974	22757
533	26027	22713
534	26065	22655
535	26117	22608
536	26170	22563
537	26206	22504
538	26244	22446
539	26281	22388
540	26330	22339
541	26388	22298
542	26438	22250
543	26485	22201
544	26520	22141
545	26565	22089
546	26613	22040
547	26679	22005
548	26715	21946
549	26767	21900
550	26803	21841
551	26848	21789
552	26879	21727
553	26920	21672
554	26956	21613
555	27013	21572
556	27049	21513
557	27075	21446
558	27148	21417
559	27187	21361
560	27248	21322
561	27285	21265
562	27304	21193
563	27362	21152
564	27376	21077
565	27414	21021
566	27502	21002
567	27540	20946
568	27580	20891
569	27615	20832
570	27642	20768
571	27668	20703
572	27708	20648
573	27738	20586
574	27755	20514
575	27805	20468
576	27835	20406
577	27870	20348
578	27893	20282
579	27930	20225
580	27954	20159
581	28002	20111
582	28036	20053
583	28073	19997
584	28098	19933
585	28146	19885
586	28180	19826
587	28241	19788
588	28286	19737
589	28317	19678
